,word,wordnum
0,外国文学,4.0
1,小说,4.0
2,文学,4.0
3,经典,4.0
4,历史,3.0
5,国学,3.0
6,陈寅恪,2.0
7,散文,2.0
8,电影,2.0
9,编程,2.0
10,随笔,2.0
11,计算机,2.0
12,卡尔维诺,2.0
13,传记,2.0
14,伊塔洛・卡尔维诺,2.0
15,中国历史,2.0
16,C/C++,2.0
17,C++,2.0
18,意大利文学,2.0
19,programming,2.0
20,中国,2.0
21,意大利,2.0
22,编剧,1.0
23,电影理论,1.0
24,钱穆,1.0
25,史学,1.0
26,English,1.0
27,漫画,1.0
28,Effective,1.0
29,马塞尔・普鲁斯特,1.0
30,罗伯特·麦基,1.0
31,Mayday,1.0
32,普鲁斯特,1.0
33,女性,1.0
34,张岱,1.0
35,政治,1.0
36,青春,1.0
37,意识流,1.0
38,古典,1.0
39,程序设计,1.0
40,英语魔法师之语法俱乐部,1.0
41,故事:材质、结构、风格和银幕剧作的原理,1.0
42,三岛由纪夫,1.0
43,语法,1.0
44,陈凯歌,1.0
45,peanuts,1.0
46,中国文学,1.0
47,追忆似水年华,1.0
48,杂文,1.0
49,史努比,1.0
50,阿信,1.0
51,五月天ソ素人自拍,1.0
52,五月天,1.0
53,细细迷迷的迷离失所,1.0
54,明清散文,1.0
55,中国历代政治得失,1.0
56,成长,1.0
57,工具书,1.0
58,日本,1.0
59,明清笔记,1.0
60,寒冬夜行人,1.0
61,台湾,1.0
62,Snoopy,1.0
63,法国文学,1.0
64,丰饶之海,1.0
65,钱锺书,1.0
66,漫畫,1.0
67,对象,1.0
68,台灣,1.0
69,晚清-民国学者,1.0
70,自传,1.0
71,記實,1.0
72,我们的祖先,1.0
73,写作,1.0
74,写在人生边上的边上,1.0
75,英语,1.0
76,素人自拍,1.0
77,日本文学,1.0
78,柳如是,1.0
79,美国,1.0
80,法国,1.0
81,隋唐,1.0
82,旋元佑,1.0
83,钱钟书,1.0
84,陈寅恪集：隋唐制度渊源略论稿・唐代政治史述论稿,1.0
85,古典文学,1.0
86,绘本,1.0
87,剧本写作,1.0
88,柳如是别传,1.0
89,明清,1.0
90,英语学习,1.0
91,文革,1.0
92,隋唐史,1.0
93,英语语法,1.0
94,侯捷,1.0
95,剧本,1.0
